文献番号,著者・編者,著者・編者ふりがな,発行年1,発行年2,論文名,雑誌名・報告書名
B010224,（財）北海道埋蔵文化財センター,ほっかいどうまいぞうぶんかざいせんたー,2000,a,,芽室町北伏古２遺跡
B010225,（財）北海道埋蔵文化財センター,ほっかいどうまいぞうぶんかざいせんたー,2000,b,,（財）北海道埋蔵文化財センター調査報告書第151集　和寒町東町遺跡
B010226,（財）北海道埋蔵文化財センター,ほっかいどうまいぞうぶんかざいせんたー,2000,c,,（財）北海道埋蔵文化財センター調査報告書第141集　日東遺跡
B010227,（財）北海道埋蔵文化財センター,ほっかいどうまいぞうぶんかざいせんたー,2007,a,,下川町前サンル１遺跡
B010228,（財）北海道埋蔵文化財センター,ほっかいどうまいぞうぶんかざいせんたー,2007,b,白滝遺跡群,調査年報19　平成18年度
B010229,（財）北海道埋蔵文化財センター,ほっかいどうまいぞうぶんかざいせんたー,2008,,遠軽町　白滝遺跡群,調査年報20　平成19年度
B010230,（財）北海道埋蔵文化財センター,ほっかいどうまいぞうぶんかざいせんたー,2009,,白滝遺跡群,調査年報21　平成20年度
B010231,幕別町教育委員会,まくべつちょうきょういくいいんかい,1999,,,日新F遺跡
B010232,幕別町教育委員会,まくべつちょうきょういくいいんかい,2000,,,札内N遺跡
B010233,幕別町教育委員会,まくべつちょうきょういくいいんかい,2008,,,札内K遺跡Ⅲ　
B010234,松井泉,まついいずみ,1983,,十勝地域における先土器時代研究の現状と展望,十勝考古第６号
B010235,松崎水穂・寺崎康史,まつざきみずほ・てらさきやすふみ,2004,,上ノ国町四十九里沢Ａ地点東端地点採集のナイフ形石器について,北海道旧石器文化研究第９号
B010236,松村愉文,まつむらよしふみ,1995,,,白滝第４地点・第30地点遺跡
B010237,松村愉文･瀬下直人,まつむらよしふみ・せしもなおと,2002,,,白滝第４地点遺跡
B010238,松村愉文･瀬下直人,まつむらよしふみ・せしもなおと,2003,,,白滝第30地点遺跡
B010239,松谷純一,まつやじゅんいち,1987,a,,白滝第４地点遺跡
B010240,松谷純一,まつやじゅんいち,1987,b,,白滝村の遺跡　白滝村内遺跡分布調査報告書
B010241,松谷純一,まつやじゅんいち,1988,,,中島松６・７遺跡
B010242,松谷純一,まつやじゅんいち,1997,,,茂漁４遺跡
B010243,皆川洋一・笠原興,みながわよういち・かさはらこう,1998,,,千歳市ユカンボシＣ15遺跡（２）
B010244,皆川洋一・山田和史,みながわよういち・やまだかずふみ,2007,,,千歳市祝梅川上田遺跡・梅川２遺跡
B010245,宮尾亨,みやおとおる,1997,,北海道今金町ピリカ１遺跡K地点,第11回東北日本の旧石器文化を語る会予稿集
B010246,宮夫靖夫,みやおやすお,2002,,,苫小牧東部工業地帯の遺跡群Ⅲ
B010247,宮塚義人,みやつかよしと,1982,,足寄町から出土した先土器時代資料,北海道考古学会だより第12号
B010248,宮宏明,みやひろあき,1986,,北海道北見市広郷８遺跡のナイフ形石器,考古学雑誌第71巻第１号
B010249,宗像公司,むなかたこうじ,1999,,白滝村赤石山採集の石器について,北海道旧石器文化研究第４号
B010250,芽室町教育委員会,めむろちょうきょういくいいんかい,2006,,,芽室町大成遺跡３
B010251,Rhicard E. Morlan,もーらんR.E,1967,,The Preceramic Period of Hokkaido: An Outline,"ARCTIC ANTHROPOLOGY Volume IV-1, University of Wisconsin Press"
B010252,森田知忠ほか,もりたともひろ,1985,,,美沢川流域の遺跡群Ⅲ
B010253,八雲町教育委員会,やくもちょうきょういくいいんかい,1993,,,大関校庭遺跡 : 大関小学校改築工事用地内埋蔵文化財調査概報
B010254,柳元悦,やなぎもとえつ,1967,,白滝採集のオショロッコ型グレーバー,Field 4
B010255,山崎博信,やまさきひろのぶ,1962,,北海道紋別郡滝上町幸町の石器,道北文化研究２
B010256,山崎博信,やまさきひろのぶ,1965,a,北海道紋別郡滝上町の石器　その２,アイヌモシリ９
B010257,山崎博信,やまさきひろのぶ,1965,b,北海道紋別郡滝上町の石器　その３,Field 北海道青年人類科学研究会機関紙２
B010258,山崎博信,やまざきひろのぶ,1963,,北海道名寄市旭東南出地点の遺跡,道北文化研究３
B010259,山崎博信,やまさきひろのぶ,1964,,,郷土資料集第５集　名寄日進遺跡篠原地点
B010260,山崎博信,やまさきひろのぶ,1969,,浅茅野遺跡発掘調査概報,北海道の文化18
B010261,山崎博信,やまさきひろのぶ,1979,,,北海道下川町旧石器時代遺跡出土資料モサンル遺跡
B010262,山崎博信・鈴木邦輝,やまさきひろのぶ・すずきくにてる,1984,,鎌田勘亟氏のオショロッコ遺跡表採資料〔１〕,道北文化研究13
B010263,山田哲,やまださとる,1999,,北海道の前半期細石刃石器群についての研究－常呂群訓子府町緑丘遺跡石器群の再検討－,先史考古学論集８
B010264,山原敏朗,やまはらとしろう,1996,,陸別町斗満台地遺跡出土の資料,北海道旧石器文化研究第１号
B010265,山原敏朗,やまはらとしろう,2001,,丸瀬布町太平２遺跡採集の細石刃石器群資料,北海道旧石器文化研究第6号
B010266,山原敏朗,やまはらとしろう,2004,,第二章 十勝川と先史文化 第一節 旧石器時代,澪標
B010267,吉崎昌一,よしざきまさかず,1958,,舟底形石器資料,貝塚72
B010268,吉崎昌一,よしざきまさかず,1955,,北海道北見国相内村豊田遺跡略報,石器時代第１号
B010269,吉崎昌一,よしざきまさかず,1956,,北海道のblade industryについて,北海道第4紀研究会連絡紙No.7
B010270,吉崎昌一,よしざきまさかず,1959,,札滑遺跡－北海道におけるSmall-blade industryの発見－,北海道学芸大学考古学研究会連絡紙第18号
B010271,吉崎昌一,よしざきまさかず,1959,,北海道白滝村Loc.30の遺跡群,考古学手帳６
B010272,函館博物館,はこだてはくぶつかん,1960,,,立川 : 北海道磯谷郡蘭越町立川遺跡における無土器文化の発掘調査
B010273,吉崎昌一,よしざきまさかず,1961,,白滝遺跡と北海道の無土器文化,民族学研究26-1
B010274,吉崎昌一,よしざきまさかず,1973,,,タチカルシュナイ遺跡1972
B010275,吉崎昌一,よしざきまさかず,1974,,,祝梅三角山地点
B010276,吉崎昌一,よしざきまさかず,1977,,立川以後,立川（復刻）
B010277,米村哲英,よねむらてつえい,1966,,,端野町川向高橋遺跡調査概要
B010278,米村哲英,よねむらてつえい,1977,,,白滝遺跡 -幌加川遺跡･遠間地点
B010279,陸別町,りくべつちょう,1994,,,陸別町史
B010280,陸別町教育委員会,りくべつちょうきょういくいいんかい,1973,,,陸別遺跡
B010281,陸別町教育委員会,りくべつちょうきょういくいいんかい,2001,,,史跡ユクエピラチャシ跡
B010282,陸別町教育委員会,りくべつちょうきょういくいいんかい,2005,,,ウエンベツ遺跡
B010283,乙部町教育委員会,おとべちょうきょういくいいんかい,1976,,,元和
B010284,松橋純吉・笹浪甲衛・松崎水穂,まつはしじゅんきち・ささなみこうえい・まつざきみずほ,1972,,厚沢部町富里B遺跡採集の無土器時代の遺物,桧山考古学研究会会誌１
B010285,木村アヤ子,きむらあやこ,1975,,桧山郡厚沢部町の表採資料について,桧山考古学研究会会誌４
B010286,千代肇・岩本義雄,ちよはじめ・いわもとよしお,1975,,北海道八雲町上八雲の遺跡について,北海道考古学11
B020001,芹沢長介,せりざわちょうすけ,1959,,ローム層に潜む文化,先縄文時代 世界考古学体系１
B020002,八幡一郎,やわたいちろう,1959,,新石器文化とその先駆,世界考古学体系１
B020003,平尾勲・角鹿扇三・佐藤達雄,ひらおつとむほか,1960,,甲地村長者久保出土の石器,上北考古会誌１
B020004,音喜多富寿,おきたとみじゅ,1967,,考古資料,図録青森の文化財
B020005,山内清男・佐藤達夫,やまのうちすがお・さとうたつお,1967,,下北の無土器文化－青森県上北郡東北町長者久保遺跡発掘報告,下北―自然・文化・社会（九学会連合下北調査委員会）
B020006,田村誠一,たむらせいいち,1968,,大曲Ⅰ号遺跡,岩木山  岩木山麓古代遺跡発掘調査報告書
B020007,工藤純子・長利ゆり子・吉井ミヤ・工藤典子,くどうじゅんこほか,1968,,相野山遺跡,東日流TSUGARU４（青森県立金木高等学校郷土研究部）
B020008,石岡憲雄・舘野孝,いしおかのりお・たてのたかし,1970,,青森市三内丸山地区出土の尖頭器,遮光器3
B020009,鈴木克彦他,すずきかつひこほか,1974,,中宇田遺跡,青森県埋蔵文化財調査報告書第13集　今別町浜名遺跡・中宇田遺跡・西田遺跡・五郎兵衛山遺跡・五所川原市原子溜池群発掘調査報告書
B020010,芹沢長介,せりざわちょうすけ,1974,,,古代史発掘１　最古の狩人たち  旧石器時代
B020011,岩本義雄,いわもとよしお,1975,,小沢稲平遺跡,日本考古学年報26（日本考古学協会）
B020012,村越潔,むらこしきよし,1975,,大森勝山遺跡,日本の旧石器文化２
B020013,岩本義雄,いわもとよしお,1978,,旧石器時代,下北半島の歴史と民俗  下北の歴史と文化を語る会編
B020014,桜田隆・石岡憲雄,さくらだたかし・いしおかのりお,1978,,先土器時代の遺物、先土器時代の小結,青森県埋蔵文化財調査報告書第37集　青森市三内遺跡
B020015,岩本義雄,いわもとよしお,1979,,青森県における縄文文化以前の文化に関する研究史,大平山元Ⅰ遺跡発掘調査報告書  青森県立郷土館調査報告第五集
B020016,春日信興,かすがのぶおき,1979,,第一章 先土器時代（無土器時代）,下田町誌
B020017,三宅徹也他,みやけてつやほか,1979,,,青森県立郷土館調査報告第５集　大平山元Ⅰ遺跡発掘調査報告書
B020018,白鳥文雄・遠藤正夫他,しらとりふみおほか,1980,,,青森県埋蔵文化財発掘調査報告書第56集　永野遺跡発掘調査報告書
B020019,角鹿扇三・渡辺兼庸,かずのせんぞうほか,1980,,吹越砂丘遺跡,角鹿扇三蒐集考古資料集
B020020,角鹿扇三・渡辺兼庸,かずのせんぞうほか,1980,,目ノ越遺跡,角鹿扇三蒐集考古資料集
B020021,角鹿扇三・渡辺兼庸,かずのせんぞうほか,1980,,長者久保遺跡,角鹿扇三蒐集考古資料集
B020022,三宅徹也他,みやけてつやほか,1980,,,青森県立郷土館調査報告第８集　大平山元Ⅱ遺跡発掘調査報告書
B020023,弘前市教育委員会,ひろさきしきょういくいいんかい,1981,,,考古文化財シリーズNo.８　弘前の文化財
B020024,三宅徹也他,みやけてつやほか,1981,,,青森県立郷土館調査報告第11集　大平山元Ⅲ遺跡発掘調査報告書
B020025,畠山昇・小笠原幸範他,はたけやまのぼるほか,1982,,,青森県埋蔵文化財調査報告書第68集　山崎遺跡(1)(2)(3)発掘調査報告書
B020026,三宅徹也他,みやけてつやほか,1982,,,青森県埋蔵文化財調査報告書第67集　発茶沢遺跡
B020027,市川金丸,いちかわかなまる,1983,,第2章 旧石器時代,青森県の考古学
B020028,葛西励他,かさいれいほか,1983,,太子森遺跡発掘調査報告書,平賀町埋蔵文化財報告書第14集
B020029,春日信興・工藤泰博・松山力他,かすがのぶおきほか,1983,,,青森県埋蔵文化財調査報告書第73集　鴨平(2)遺跡発掘調査報告書
B020030,畠山昇,はたけやまのぼる,1983,,槻ノ木遺跡,青森県埋蔵文化財調査報告書第77集　松原遺跡・陣馬川原遺跡・槻ノ木遺跡
B020031,三宅徹也・白鳥文雄・中嶋久彰,みやけてつやほか,1984,,,青森県埋蔵文化財調査報告書第82集　和野前山遺跡
B020032,岡田康博他,おかだやすひろほか,1985,,,青森県埋蔵文化財調査報告書第89集　尻高(2)・(3)・(4)遺跡発掘調査報告書
B020033,福田友之他,ふくだともゆきほか,1985,,,青森県埋蔵文化財調査報告書第94集　弥栄平(1)遺跡　国道338号（鷹架大橋）橋梁整備事業に係る埋蔵文化財試掘調査報告書
B020034,橘善光,たちばなよしみつ,1987,,下北半島長後沖発見の有舌尖頭器について,月刊考古学ジャーナル№279
